Track Name,Artist Name(s),Album Name,Album Artist Name(s),Track Duration (ms),Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,simplified_genre
Piece Of My Heart,Janis Joplin,Introducing the Dwights,Various Artists,253804,0.482,0.883,-3.348,0.0754,0.0891,0.00422,0.266,0.594,80.687,rock
Touch The Fire,ICEHOUSE,Man Of Colours,ICEHOUSE,226480,0.539,0.955,-3.997,0.0427,0.0894,3.31e-5,0.0873,0.502,129.875,pop
Fergalicious,"Fergie, will.i.am",The Dutchess,Fergie,292373,0.906,0.584,-7.72,0.316,0.0576,0,0.128,0.831,129.055,pop
Golden Years - M-Phazes Remix,"Ruel, M-Phazes",Golden Years (M-Phazes Remix),"Ruel, M-Phazes",234293,0.722,0.559,-5.249,0.0342,0.187,8.96e-6,0.125,0.255,110.065,pop
Moody River,Pat Boone,The Gold Collection,Pat Boone,153586,0.616,0.728,-7.365,0.0312,0.581,4.73e-5,0.102,0.685,139.428,rock
Good Days Bad Days,Kaiser Chiefs,Off with Their Heads,Kaiser Chiefs,173813,0.621,0.884,-5.534,0.0522,1.43e-4,7.38e-6,0.113,0.798,112.053,rock
Make You Feel My Love,Adele,19,Adele,212040,0.559,0.172,-10.636,0.0291,0.907,3.83e-4,0.105,0.0955,77.025,pop
Work On It,Alicia Keys,HERE,Alicia Keys,214386,0.495,0.391,-9.061,0.335,0.18,0,0.599,0.674,173.599,pop
Say You Won't Let Go,James Arthur,Back from the Edge,James Arthur,211466,0.358,0.557,-7.398,0.059,0.695,0,0.0902,0.494,85.043,pop
Style,Taylor Swift,1989 (Deluxe),Taylor Swift,231000,0.588,0.791,-5.595,0.0402,0.00245,0.00258,0.118,0.487,94.933,pop
Grenade,Bruno Mars,Doo-Wops & Hooligans,Bruno Mars,222091,0.704,0.558,-7.273,0.0542,0.148,0,0.107,0.245,110.444,pop
Stolen Dance,Milky Chance,Sadnecessary,Milky Chance,313684,0.886,0.578,-8.826,0.0381,0.418,1.81e-4,0.0761,0.69,114.015,pop
Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),Capital Cities,192789,0.653,0.822,-4.857,0.033,2.1e-4,0.0047,0.0838,0.762,117.949,rock
Breakin' In A Brand New Broken Heart,Connie Francis,The Very Best Of Connie Francis - Connie 21 Biggest Hits,Connie Francis,156893,0.256,0.163,-9.856,0.0297,0.754,0,0.135,0.261,83.139,pop
Life in a Northern Town,The Dream Academy,The Dream Academy,The Dream Academy,259293,0.563,0.476,-13.342,0.0329,0.265,0,0.494,0.432,121.67,pop
Whatever Will Be,"Tammin Sursok, Ray Hedges",Whatever Will Be,Tammin Sursok,227413,0.51,0.709,-5.22,0.0286,0.00729,0,0.129,0.243,135.993,pop
He's Gonna Step on You Again,The Party Boys,The Party Boys,The Party Boys,249693,0.718,0.895,-10.228,0.0373,0.00498,3.08e-6,0.385,0.656,107.571,rock
Man Overboard,Do Re Mi,Domestic Harmony,Do Re Mi,250866,0.581,0.514,-10.812,0.0652,0.31,0.00701,0.376,0.69,89.026,rock
Because They’re Young,Duane Eddy,Twangy Guitar,Duane Eddy,124506,0.678,0.777,-7.437,0.0332,0.514,0.886,0.096,0.965,120.568,rock
Puppy Love,Donny Osmond,Portrait Of Donny,Donny Osmond,184973,0.414,0.681,-3.992,0.036,0.612,7.98e-6,0.248,0.538,102.338,pop
Better,Khalid,Suncity,Khalid,229320,0.596,0.552,-10.278,0.097,0.0765,0.334,0.104,0.112,97.949,pop
Without You (Glee Cast Version),Glee Cast,Without You (Glee Cast Version),Glee Cast,210586,0.467,0.749,-6.086,0.0525,0.149,7.68e-6,0.0865,0.0977,127.887,pop
Love Letters,Billy Thorpe & The Aztecs,It's All Happening - 23 Original Hits (1964-1975),Billy Thorpe & The Aztecs,194880,0.379,0.494,-6.817,0.0271,0.685,6.33e-6,0.204,0.231,142.342,rock
Let It Be - Remastered 2009,The Beatles,Let It Be (Remastered),The Beatles,243026,0.443,0.403,-8.339,0.0322,0.631,0,0.111,0.41,143.462,rock
You Don't Own Me,Lesley Gore,Lesley Gore Sings Of Mixed-Up Hearts,Lesley Gore,150000,0.473,0.434,-10.02,0.0257,0.701,0,0.628,0.711,94.814,pop
Sleeping Satellite,Tasmin Archer,Great Expectations,Tasmin Archer,281853,0.6,0.824,-9.864,0.027,0.171,2.25e-4,0.258,0.749,96.075,pop
Good Luck Charm,Elvis Presley,"Elvis' Golden Records, Vol. 3",Elvis Presley,145080,0.618,0.467,-13.166,0.0336,0.56,1.05e-5,0.5,0.904,121.646,rock
I Bet,Ciara,I Bet,Ciara,287850,0.739,0.616,-7.246,0.0621,0.0808,0,0.0759,0.341,129.016,pop
Teach Your Children,"Crosby\, Stills\, Nash & Young",Deja Vu,"Crosby\, Stills\, Nash & Young",173466,0.497,0.285,-14.537,0.0264,0.643,1.69e-5,0.389,0.667,154.707,rock
The Middle,"Zedd, Maren Morris, Grey",The Middle,"Zedd, Maren Morris, Grey",184732,0.753,0.657,-3.061,0.0449,0.171,0,0.112,0.437,107.01,pop
Bubbly,Colbie Caillat,Coco,Colbie Caillat,196226,0.688,0.477,-6.684,0.036,0.594,0,0.115,0.257,127.866,pop
Your Love,The Outfield,Play Deep,The Outfield,216466,0.579,0.654,-12.421,0.0553,0.121,3.62e-6,0.0673,0.616,129.537,pop
This Love,The Veronicas,Hook Me Up,The Veronicas,178800,0.636,0.747,-4.125,0.0881,0.0243,0,0.256,0.616,155.979,pop
We Will Together,Eurogliders,Absolutely,Eurogliders,272826,0.655,0.456,-17.617,0.0354,0.15,1.27e-6,0.0753,0.586,139.599,rock
Hurts So Good,Astrid S,Hurts So Good,Astrid S,208728,0.672,0.589,-5.008,0.049,0.082,0,0.0962,0.379,120.036,pop
Stand by Me,Ben E. King,Don't Play That Song (Mono),Ben E. King,180055,0.65,0.306,-9.443,0.0393,0.57,7.07e-6,0.0707,0.605,118.068,rock
I Get Around (Mono),The Beach Boys,All Summer Long (Mono & Stereo),The Beach Boys,134386,0.39,0.625,-7.813,0.0537,0.36,0,0.0663,0.514,144.338,rock
Kissin' Cousins - 2003 Sony Remaster,"Elvis Presley, The Jordanaires",Elvis At The Movies,Elvis Presley,131746,0.629,0.594,-9.997,0.0407,0.659,0,0.433,0.968,84.866,rock
Everything I Own,Bread,Baby I'm-a Want You,Bread,187000,0.365,0.338,-13.406,0.0322,0.735,0,0.104,0.446,79.241,rock
Heaven & Hell - US Single Version,The Easybeats,Friday On My Mind,The Easybeats,162106,0.483,0.676,-10.271,0.0323,0.505,6.32e-5,0.297,0.502,116.418,rock
Bang-Shang-a-Lang,The Archies,The Archies,The Archies,152502,0.623,0.403,-10.238,0.0485,0.00449,0,0.0295,0.883,113.904,rock
What the Hell,Avril Lavigne,Goodbye Lullaby,Avril Lavigne,220626,0.571,0.932,-3.68,0.0576,0.00448,0.00939,0.117,0.864,150.014,pop
Can't Hold Us Down (feat. Lil' Kim),"Christina Aguilera, Lil' Kim",Stripped,Christina Aguilera,255266,0.859,0.658,-4.481,0.192,0.0326,0.00181,0.0651,0.538,98.989,pop
Come & Get It,Selena Gomez,Stars Dance,Selena Gomez,231986,0.349,0.795,-4.133,0.0758,0.0102,1.38e-4,0.0812,0.542,148.985,pop
Middle,"DJ Snake, Bipolar Sunshine",Encore,DJ Snake,220573,0.611,0.7,-5.331,0.0436,0.0199,0,0.0549,0.213,104.981,pop
Tubular Bells - Pt. I,Mike Oldfield,Tubular Bells,Mike Oldfield,1561133,0.374,0.219,-19.104,0.0343,0.564,0.56,0.114,0.0579,103.535,rock
Guitar Band,Stevie Wright,The Definitive Collection,Stevie Wright,201426,0.577,0.679,-6.809,0.135,0.00786,1.18e-5,0.0594,0.662,93.135,rock
Greenlight (feat. Flo Rida & LunchMoney Lewis),"Pitbull, Flo Rida, LunchMoney Lewis",Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,244173,0.695,0.837,-5.617,0.281,0.245,0,0.367,0.639,115.067,pop
Keep It Comin' Love,KC & The Sunshine Band,"KC & the Sunshine Band, Pt. 3... and More",KC & The Sunshine Band,271493,0.773,0.721,-12.574,0.0294,0.232,1.61e-5,0.0349,0.971,110.383,pop
Bang Bang,"Rita Ora, Imanbek",Bang,"Rita Ora, Imanbek",179578,0.764,0.846,-2.743,0.0636,0.159,2.63e-4,0.0475,0.777,122.992,pop
Crazier,Taylor Swift,Hannah Montana The Movie,Various Artists,191946,0.447,0.541,-5.374,0.0274,0.0707,8.48e-6,0.119,0.218,133.109,pop
About A Girl - Remastered,Nirvana,Bleach: Deluxe Edition,Nirvana,168160,0.402,0.898,-6.467,0.0316,8.86e-6,8.89e-5,0.279,0.675,132.092,rock
The Dead Heart - 2007 Remastered,Midnight Oil,Diesel And Dust,Midnight Oil,311026,0.637,0.759,-11.004,0.0295,0.0282,3.86e-4,0.0621,0.686,136.223,rock
Naked,"Jonas Blue, MAX",Naked,"Jonas Blue, MAX",210921,0.856,0.622,-5.217,0.0564,0.36,0,0.0875,0.778,114.976,pop
Piece of My Heart,"Big Brother & The Holding Company, Janis Joplin",Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",253333,0.443,0.727,-7.951,0.145,0.263,1.41e-4,0.169,0.566,160.82,rock
Careless Whisper - Remastered,George Michael,Twenty Five,George Michael,303426,0.596,0.641,-8.88,0.0336,0.138,0,0.318,0.792,76.59,pop
Rock And Roll All Nite,KISS,Dressed To Kill (Remastered Version),KISS,168733,0.656,0.931,-5.827,0.0976,0.046,0,0.0543,0.909,144.747,rock
All I Know So Far,P!nk,All I Know So Far,P!nk,277413,0.578,0.639,-5.749,0.0374,0.0586,0,0.0944,0.296,108.045,pop
Selfish Love (with Selena Gomez),"DJ Snake, Selena Gomez",Selfish Love (with Selena Gomez),"DJ Snake, Selena Gomez",168648,0.723,0.646,-7.973,0.102,0.0206,0.352,0.0994,0.443,110.971,pop
Kryptonite,3 Doors Down,The Better Life,3 Doors Down,233933,0.545,0.865,-5.708,0.0286,0.00664,1.1e-5,0.168,0.543,99.009,rock
The Cave,Mumford & Sons,Sigh No More,Mumford & Sons,218000,0.59,0.513,-9.476,0.0375,0.0481,1.08e-4,0.0906,0.406,141.988,rock
Love Never Felt So Good,"Michael Jackson, Justin Timberlake",XSCAPE,Michael Jackson,246026,0.775,0.719,-6.212,0.0435,0.132,1.79e-6,0.0662,0.712,117.513,pop
Fat Bottomed Girls - Remastered 2011,Queen,The Platinum Collection (2011 Remaster),Queen,202440,0.421,0.671,-7.666,0.0482,0.0581,0,0.361,0.557,88.176,rock
Edge of Seventeen - 2016 Remaster,Stevie Nicks,Bella Donna (2016 Remastered),Stevie Nicks,329413,0.591,0.804,-7.299,0.0454,0.327,5.98e-6,0.0818,0.658,111.457,rock
A Thousand Years,Christina Perri,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),Various Artists,285120,0.421,0.407,-7.445,0.0267,0.309,9.61e-4,0.11,0.161,139.028,pop
The First Time Ever I Saw Your Face,Roberta Flack,First Take,Roberta Flack,260666,0.311,0.0264,-21.644,0.037,0.731,0.00205,0.156,0.139,120.653,rock
Sweat - Remix,"Snoop Dogg, David Guetta, Giorgio Tuinfort, Frederic Riesterer",Sweat (Snoop Dogg Vs. David Guetta) [Remix],"Snoop Dogg, David Guetta",195986,0.813,0.732,-5.636,0.03,0.0597,0.00137,0.0826,0.731,130.02,pop
Just Another Night,Mick Jagger,She's The Boss,Mick Jagger,315613,0.766,0.878,-4.862,0.0585,0.127,0.00391,0.102,0.833,132.011,rock
Jet - 2010 Remaster,Wings,Band On The Run (Standard),Wings,248360,0.504,0.739,-7.265,0.0316,0.0179,0.08,0.0949,0.417,128.918,rock
Go All The Way,Raspberries,Raspberries,Raspberries,205346,0.305,0.849,-4.892,0.0999,0.548,1.34e-4,0.0995,0.555,134.287,pop
My Sentimental Friend,Herman's Hermits,This Is... 1969,Various Artists,199693,0.513,0.759,-4.273,0.0304,0.043,3.71e-6,0.32,0.655,89.934,rock
It's My Life,The Animals,The Singles Plus,The Animals,189266,0.593,0.592,-7.75,0.0311,0.00226,9.36e-6,0.232,0.652,122.848,rock
I Like It Like That (feat. New Boyz),"Hot Chelle Rae, New Boyz",Whatever,Hot Chelle Rae,188200,0.742,0.784,-5.458,0.0552,0.0308,0,0.354,0.65,101.002,pop
If It Makes You Happy,Sheryl Crow,Sheryl Crow,Sheryl Crow,324840,0.541,0.692,-7.056,0.0278,0.0409,1.78e-4,0.108,0.303,95.446,pop
Psycho,Puddle Of Mudd,Famous,Puddle Of Mudd,210653,0.573,0.897,-3.549,0.0553,0.00473,0,0.278,0.463,126.034,rock
Maneater,Daryl Hall & John Oates,H2O,Daryl Hall & John Oates,271893,0.727,0.685,-7.159,0.0398,0.0351,4.43e-5,0.0973,0.812,88.75,rock
Radar Love,Golden Earring,The Long Versions - Part One,Golden Earring,386706,0.504,0.719,-9.155,0.0431,0.00878,0.00149,0.075,0.177,102.144,rock
Is She Really Going Out With Him?,Joe Jackson,Look Sharp!,Joe Jackson,215066,0.874,0.318,-6.869,0.0454,0.0353,1.69e-5,0.217,0.919,116.117,pop
Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,Gotye,244893,0.864,0.515,-6.967,0.0367,0.571,7.92e-5,0.0947,0.755,129.048,pop
Breakaway,Kelly Clarkson,Breakaway,Kelly Clarkson,237000,0.446,0.701,-4.179,0.0295,0.0298,8.89e-6,0.0931,0.394,159.958,pop
Good Times,The Easybeats,Vigil,The Easybeats,201466,0.55,0.934,-7.876,0.0885,0.231,0.197,0.289,0.793,81.538,rock
On The Road Again,Canned Heat,The Best Of Canned Heat,Canned Heat,206333,0.496,0.156,-17.059,0.0419,0.777,0,0.232,0.205,129.524,rock
Pinball Wizard,The Who,Tommy (Remastered 2013 Super Deluxe Edition),The Who,180943,0.537,0.716,-8.766,0.038,0.0192,0,0.245,0.452,122.873,rock
Please Stay - Single Version,The Drifters,All-Time Greatest Hits & More 1959-1965,The Drifters,135480,0.727,0.448,-7.833,0.0282,0.323,0,0.194,0.71,112.986,rock
Be Alright,Dean Lewis,Be Alright,Dean Lewis,196373,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684,pop
Whistle,Flo Rida,Wild Ones,Flo Rida,224653,0.747,0.937,-5.746,0.0453,0.0208,0,0.29,0.739,103.976,pop
The Joker,Steve Miller Band,The Joker,Steve Miller Band,264503,0.596,0.448,-9.616,0.0396,0.365,5.3e-6,0.206,0.796,83.293,rock
Love Rears Its Ugly Head,Living Colour,Time'S Up,Living Colour,259466,0.615,0.477,-8.816,0.092,0.0558,6.25e-5,0.231,0.731,156.008,rock
New Rules,Dua Lipa,Dua Lipa (Deluxe),Dua Lipa,209320,0.762,0.7,-6.021,0.0694,0.00261,1.56e-5,0.153,0.608,116.073,pop
Weather With You,Crowded House,Woodface,Crowded House,224466,0.643,0.614,-12.878,0.0279,0.25,7.17e-6,0.214,0.891,93.982,rock
All I Wanna Do Is Make Love To You,Heart,Brigade,Heart,310893,0.626,0.746,-8.832,0.0282,0.16,0,0.0618,0.8,102.896,rock
Move,Little Mix,Salute (The Deluxe Edition),Little Mix,224333,0.85,0.741,-4.57,0.0918,0.00436,3.33e-6,0.549,0.765,121.17,pop
Doesn't Mean Anything,Alicia Keys,Doesn't Mean Anything,Alicia Keys,275000,0.713,0.378,-7.131,0.0268,0.0275,1.26e-4,0.0926,0.167,103.978,pop
Runaway '67 - Remastered 2006,Del Shannon,Home And Away (Expanded Edition),Del Shannon,207506,0.614,0.722,-6.113,0.027,0.585,1.17e-4,0.102,0.784,108.464,rock
Find U Again (feat. Camila Cabello),"Mark Ronson, Camila Cabello",Find U Again (feat. Camila Cabello),"Mark Ronson, Camila Cabello",176416,0.605,0.664,-7.162,0.0316,0.00548,3e-6,0.204,0.164,103.997,pop
Say Say Say - Remastered 2015,"Paul McCartney, Michael Jackson",Pipes Of Peace (Deluxe Edition),Paul McCartney,235693,0.83,0.672,-10.436,0.0471,0.126,8.19e-4,0.0478,0.808,117.726,rock
Don’t Feel Like Crying,Sigrid,Don't Feel Like Crying,Sigrid,157010,0.749,0.814,-3.769,0.0404,0.156,0,0.0673,0.715,119.964,pop
Me Myself & I,Scandal'us,Startin' Somethin',Scandal'us,187493,0.709,0.869,-3.209,0.124,0.103,0,0.0769,0.773,99.906,pop
It's Oh So Quiet,Björk,Post,Björk,218773,0.459,0.127,-14.191,0.0544,0.618,0,0.0708,0.234,128.098,pop
I Want It All - Remastered 2011,Queen,Greatest Hits II (2011 Remaster),Queen,241253,0.398,0.834,-5.786,0.0472,0.0298,2.35e-6,0.385,0.389,92.376,rock
I'll Never Break Your Heart,Backstreet Boys,Backstreet Boys,Backstreet Boys,287506,0.519,0.589,-6.005,0.029,0.0885,0,0.153,0.341,161.992,pop
It's Probably Me,"Sting, Eric Clapton",Fields Of Gold - The Best Of Sting 1984 - 1994,Sting,302040,0.791,0.41,-12.604,0.084,0.167,4.38e-6,0.0763,0.511,91.021,rock
(Glad I'm Not) a Kennedy,Shona Laing,South,Shona Laing,207293,0.687,0.587,-12.666,0.0319,0.163,3.58e-6,0.0959,0.804,112.311,pop
Too Funky - Remastered 2006,George Michael,Twenty Five,George Michael,226253,0.65,0.882,-8.747,0.0817,0.0188,0.351,0.767,0.769,98.24,pop
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,The Weeknd,213520,0.705,0.769,-5.526,0.0425,0.113,0,0.105,0.583,107.949,pop
Clap Your Hands,Sia,We Are Born,Sia,238436,0.698,0.868,-4.935,0.0524,5.61e-4,0.0349,0.359,0.813,120.011,pop
Señorita,"Shawn Mendes, Camila Cabello",Señorita,"Shawn Mendes, Camila Cabello",190960,0.759,0.54,-6.039,0.0287,0.037,0,0.0945,0.75,116.947,pop
Dear Future Husband,Meghan Trainor,Title (Deluxe),Meghan Trainor,184226,0.655,0.782,-4.789,0.185,0.375,0,0.317,0.832,79.427,pop
1 Day 2 Nights,HRVY,1 Day 2 Nights,HRVY,138200,0.747,0.749,-6.337,0.0558,0.0798,1.79e-6,0.318,0.914,121.964,pop
Hold Up,Beyoncé,Lemonade,Beyoncé,221106,0.49,0.401,-11.929,0.415,0.724,0,0.526,0.549,78.672,pop
"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",Ariana Grande,190440,0.723,0.563,-5.26,0.0795,0.0361,0,0.0873,0.329,170.004,pop
Stone Cold,Jimmy Barnes,Hits,Jimmy Barnes,227666,0.412,0.539,-7.794,0.0252,0.396,6.31e-4,0.1,0.33,96.812,rock
"Believe It or Not (Theme from ""Greatest American Hero"")",Joey Scarbury,America's Greatest Hero,Joey Scarbury,195293,0.521,0.743,-5.903,0.0338,0.249,0,0.096,0.451,117.129,rock
Can We Pretend (feat. Cash Cash),"P!nk, Cash Cash",Hurts 2B Human,P!nk,224360,0.524,0.806,-3.447,0.406,0.197,0,0.101,0.45,115.172,pop
Dreamin',Johnny Burnette,25 Greatest Hits,Johnny Burnette,140160,0.5,0.46,-11.041,0.0423,0.482,0,0.352,0.759,75.058,rock
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",Moth To A Flame,"Swedish House Mafia, The Weeknd",234000,0.542,0.659,-7.289,0.0389,0.00279,0,0.105,0.109,120.122,pop
Wildflower,5 Seconds of Summer,CALM,5 Seconds of Summer,220536,0.643,0.768,-4.316,0.0455,0.174,0,0.469,0.597,108.992,pop
Moderation,Florence + The Machine,Moderation,Florence + The Machine,188615,0.64,0.653,-6.039,0.0281,0.0171,2.15e-4,0.119,0.611,129.986,pop
Some Kind of Bliss - Radio Edit,Kylie Minogue,Impossible Princess,Kylie Minogue,214013,0.514,0.826,-4.744,0.0268,0.00117,5.15e-5,0.194,0.638,105.037,pop
Take Me to Church,Hozier,Hozier,Hozier,241693,0.575,0.664,-5.303,0.0481,0.637,0,0.116,0.437,129.07,pop
Don't Cry (Original),Guns N' Roses,Use Your Illusion I,Guns N' Roses,283733,0.456,0.59,-8.638,0.0327,0.00182,0.00379,0.104,0.243,124.635,rock
Sugar,Maroon 5,V (Deluxe),Maroon 5,235493,0.748,0.788,-7.055,0.0334,0.0591,0,0.0863,0.884,120.076,pop
Never Forget You,"Zara Larsson, MNEK",So Good,Zara Larsson,213427,0.583,0.732,-5.728,0.0457,0.00312,9.86e-6,0.269,0.276,145.992,pop
Brokenhearted,Karmin,Hello,Karmin,227146,0.765,0.765,-2.732,0.0585,0.00765,3.82e-6,0.0527,0.886,120.001,pop
Learn to Fly,Foo Fighters,Greatest Hits,Foo Fighters,234800,0.439,0.931,-2.59,0.0473,1.92e-5,1.21e-5,0.193,0.527,135.944,rock
Surrender,Elvis Presley,"Elvis' Golden Records, Vol. 3",Elvis Presley,114200,0.38,0.638,-9.647,0.0504,0.75,0,0.258,0.749,79.125,rock
Wings,Little Mix,DNA: The Deluxe Edition,Little Mix,219733,0.738,0.875,-3.141,0.127,6.73e-4,5.56e-4,0.285,0.538,114.962,pop
This Ole House,Shakin' Stevens,80s 100 Hits,Various Artists,185866,0.502,0.965,-2.946,0.112,0.053,0,0.34,0.962,192.811,pop
With Ur Love (feat. Mike Posner),"Cher Lloyd, Mike Posner",With Ur Love (feat. Mike Posner),Cher Lloyd,226320,0.553,0.858,-2.181,0.044,0.00966,0,0.203,0.704,169.996,pop
Comfortably Numb,Pink Floyd,The Wall,Pink Floyd,382296,0.472,0.366,-12.595,0.0286,0.15,0.312,0.0837,0.171,127.163,rock
Setting Fires,"The Chainsmokers, XYLØ",Setting Fires,"The Chainsmokers, XYLØ",247426,0.626,0.717,-5.751,0.0375,0.017,0,0.261,0.56,105.039,pop
Really Don't Care,"Demi Lovato, Cher Lloyd",Demi,Demi Lovato,201600,0.703,0.733,-3.598,0.0852,0.111,0,0.119,0.82,121.008,pop
Creep,Radiohead,Pablo Honey (Collector's Edition),Radiohead,235666,0.532,0.344,-13.057,0.035,0.00563,4.73e-4,0.115,0.126,91.834,rock
Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",216408,0.696,0.817,-3.862,0.109,0.075,0,0.187,0.782,98.064,pop
Caught Out There,Kelis,Kaleidoscope,Kelis,291706,0.848,0.691,-6.775,0.093,0.0512,0.00803,0.0723,0.922,92.996,pop
If I Can't Have You,Shawn Mendes,If I Can't Have You,Shawn Mendes,190800,0.692,0.809,-4.198,0.0602,0.524,0,0.147,0.864,123.911,pop
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,"Mario Winans, Enya, Diddy",Bad Boy 20th Anniversary Box Set Edition,Various Artists,257333,0.833,0.515,-5,0.0462,0.347,0.00156,0.116,0.4,97.007,pop
Best Thing I Never Had,Beyoncé,4,Beyoncé,253746,0.546,0.649,-4.056,0.0324,0.143,1.55e-5,0.0894,0.298,99.05,pop
Closer,Ne-Yo,Year Of The Gentleman,Ne-Yo,234360,0.709,0.745,-6.437,0.0738,0.0225,5.2e-5,0.154,0.576,126.027,pop
19-2000,Gorillaz,Gorillaz,Gorillaz,210880,0.815,0.72,-7.311,0.0536,0.177,7.31e-6,0.16,0.946,89.914,rock
Dancing in the Moonlight,King Harvest,Dancing in the Moonlight,King Harvest,181133,0.657,0.435,-15.707,0.0552,0.739,0,0.167,0.771,135.975,rock
Crazy Little Thing Called Love - Remastered 2011,Queen,The Game (2011 Remaster),Queen,163373,0.599,0.761,-6.887,0.0421,0.713,4.74e-6,0.349,0.712,77.015,rock
Breaking the Habit,Linkin Park,Meteora,Linkin Park,196906,0.579,0.849,-5.218,0.0303,0.108,0,0.0909,0.581,100.021,rock
Eloise,Barry Ryan,The Very Best Of Barry Ryan,Barry Ryan,345173,0.425,0.591,-11.996,0.0321,0.22,0,0.355,0.461,131.087,pop
Cousins,Vampire Weekend,Contra,Vampire Weekend,145266,0.494,0.811,-5.144,0.202,0.00122,0,0.0687,0.818,176.091,rock
Hooked,Why Don't We,Hooked,Why Don't We,203911,0.631,0.624,-5.504,0.0597,0.0718,0,0.145,0.392,179.925,pop
Genie in a Bottle,Christina Aguilera,Christina Aguilera,Christina Aguilera,217573,0.627,0.8,-6.945,0.162,0.21,1.23e-4,0.137,0.912,175.815,pop
Superman (It's Not Easy),Five For Fighting,America Town,Five For Fighting,221693,0.382,0.416,-9.303,0.0302,0.0733,0,0.0719,0.125,102.089,rock
Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,David Guetta,195853,0.813,0.627,-5.018,0.0486,0.076,6.16e-4,0.131,0.801,130.011,pop
Even Flow,Pearl Jam,rearviewmirror (greatest hits 1991-2003),Pearl Jam,303666,0.373,0.844,-4.332,0.0327,1.09e-4,7.7e-5,0.124,0.377,104.899,rock
Kiss This Thing Goodbye,Del Amitri,Waking Hours,Del Amitri,275026,0.68,0.514,-14.358,0.0343,0.157,0.0192,0.348,0.783,117.316,pop
Stacy's Mom,Fountains Of Wayne,Welcome Interstate Managers,Fountains Of Wayne,197986,0.774,0.75,-4.927,0.0412,0.00207,1.78e-5,0.0808,0.927,118.015,pop
Kill This Love,BLACKPINK,KILL THIS LOVE,BLACKPINK,189052,0.738,0.861,-4.141,0.237,0.32,0.00175,0.325,0.58,131.974,pop
I Believe,"Blessid Union Of Souls, David Kershenbaum",Home,Blessid Union Of Souls,267447,0.491,0.458,-8.159,0.027,0.653,0,0.164,0.238,141.724,pop
Filthy,Justin Timberlake,Man of the Woods,Justin Timberlake,293946,0.745,0.579,-5.771,0.138,0.0354,0.0118,0.246,0.645,97.002,pop
Let's Go,The Cars,Candy-O,The Cars,213173,0.651,0.83,-8.785,0.0316,0.00824,0.0429,0.0837,0.917,131.282,rock
Who Dat Girl (feat. Akon),"Flo Rida, Akon",Only One Flo (Part 1),Flo Rida,200880,0.719,0.616,-3.951,0.0395,0.00683,3.11e-5,0.0742,0.625,124.963,pop
Sunny Afternoon - Mono Version,The Kinks,Classics (The Best of The Kinks),The Kinks,214592,0.578,0.59,-4.663,0.0257,0.135,0,0.076,0.43,123.081,rock
All Loved Up,Amy Shark,Love Monster,Amy Shark,210000,0.565,0.603,-6.33,0.177,0.0264,4.02e-5,0.0738,0.171,177.996,pop
Cats In The Cradle,Ugly Kid Joe,True Power-Ballads / 3CD set,Various Artists,241346,0.386,0.466,-10.773,0.0379,0.165,1.12e-5,0.0797,0.416,74.802,rock
Some Nights,fun.,Some Nights,fun.,277040,0.672,0.738,-7.045,0.0506,0.0178,6.75e-5,0.0927,0.392,107.938,pop
Soaked,Bene,Soaked,Bene,241935,0.792,0.54,-5.975,0.0342,0.485,0,0.104,0.577,93.001,pop
How Far We've Come,Matchbox Twenty,How Far We've Come,Matchbox Twenty,212253,0.566,0.905,-5.093,0.0646,0.0045,0,0.21,0.792,83,pop
Things,Bobby Darin,The Ultimate Bobby Darin,Bobby Darin,151413,0.562,0.558,-3.572,0.0453,0.858,0,0.107,0.839,174.704,rock
Suicide Blonde,INXS,INXS Remastered,INXS,232626,0.613,0.962,-5.36,0.0897,0.00228,0.00896,0.123,0.694,119.96,rock
Mr. Natural,Bee Gees,Mr. Natural,Bee Gees,228466,0.664,0.419,-12.036,0.0286,0.0288,9.67e-5,0.331,0.555,100.47,rock
All Good Things (Come To An End),Nelly Furtado,Loose,Nelly Furtado,311186,0.661,0.649,-7.668,0.0342,0.245,1.22e-5,0.11,0.388,100.893,pop
2012 (It Ain't The End),"Jay Sean, Nicki Minaj",2012 (It Ain't The End),Jay Sean,222200,0.717,0.792,-2.703,0.0393,0.199,0,0.423,0.513,126.975,pop
